authors,title,System,year,publisher,type,abstract
"R George, M Gullström, MM Mangora…",High midday temperature stress has stronger effects on biomass than on photosynthesis: a mesocosm experiment on four tropical seagrass species,Marine,2018,Wiley Online Library,NA,The effect of repeated midday temperature stress on the photosynthetic performance and biomass production of seagrass was studied in a mesocosm setup with four common …
"R George, M Gullström, MSP Mtolera…",Methane emission and sulfide levels increase in tropical seagrass sediments during temperature stress: A mesocosm experiment,Marine,2020,Wiley Online Library,NA,"Climate change‐induced ocean warming is expected to greatly affect carbon dynamics and sequestration in vegetated shallow waters, especially in the upper subtidal where water …"
R George,Seagrasses in warming oceans: physiological and biogeochemical responses,Marine,2019,diva-portal.org,HTML,The exponential increase of atmospheric greenhouse gas concentrations over the past 50 years has caused a rise in the global average temperature by more than 1ºC above pre …
"RO Ismail, ME Asplund, M Gullström, R George, M Dahl…","Plant productivity, community composition and carbon import are key drivers of air-water CO2 fluxes in a tropical seagrass meadow: implications for blue carbon …",Marine,2021,diva-portal.org,NA,Seagrass meadows are considered efficient sinks of Blue Carbon. They capture CO 2 by an effective photosynthetic uptake as well as by trapping large amounts of carbon originating …
"RO Ismail, ME Asplund, M Gullström, R George, M Dahl…",Effects of calcification on air-water CO2 fluxes in tropical seagrass meadows: a mesocosm experiment,Marine,2021,diva-portal.org,NA,"Seagrass meadows deliver a range of ecosystem services and one of the more important is the capacity to store carbon, and thus serve as sinks for atmospheric carbon dioxide. The …"
"L Rasmusson, M Gullström, P Gunnarsson, R George…",Seagrass productivity during temperature variations: estimation of a whole plant Q10 for respiration and photosynthesis in Zostera marina,Marine,2019,diva-portal.org,NA,The exponential increase of atmospheric greenhouse gas concentrations over the past 50 years has caused a rise in the global average temperature by more than 1ºC above pre …
"R Ismail, M Asplund, R George, A Buriyo, M Gullström…",Calcifying algae modify the air-sea flux of CO2 in tropical seagrass meadows,Marine,2019,diva-portal.org,NA,The exponential increase of atmospheric greenhouse gas concentrations over the past 50 years has caused a rise in the global average temperature by more than 1ºC above pre …
"L Rasmusson, P Buapet, R George, P Gunnarsson…","Effects of temperature and hypoxia on respiration, photorespiration and photosynthesis of seagrasses",Marine,2019,diva-portal.org,NA,The exponential increase of atmospheric greenhouse gas concentrations over the past 50 years has caused a rise in the global average temperature by more than 1ºC above pre …
"R George, M Gullström, M Mtolera, M Björk","Seagrass cover reduces emissions of methane, nitrous oxide and sulphide levels in organic rich tropical seagrass sediments during daytime",Marine,2019,diva-portal.org,NA,The exponential increase of atmospheric greenhouse gas concentrations over the past 50 years has caused a rise in the global average temperature by more than 1ºC above pre …
G Rushingisha,Modelling coral-corallimorpharia interaction under varying anthropogenic inputs along the coast of Tanzania,Marine,2012,"University of Dar es Salaam,",CITATION,NA
"SC Painter, B Sekadende, A Michael, M Noyon…",Evidence of localised upwelling in Pemba Channel (Tanzania) during the southeast monsoon,Marine,2021,Elsevier,HTML,"Oceanographic and biogeochemical observations collected in Pemba Channel, a deep-water (800 m) channel separating Pemba Island from mainland Tanzania, during the South …"
"BC Sekadende, A Michael, SC Painter, S Shayo…","Spatial variation in the phytoplankton community of the Pemba Channel, Tanzania, during the south-east monsoon",Marine,2021,Elsevier,HTML,The spatiotemporal distribution of phytoplankton within Tanzanian coastal waters is considered to be poorly known. Improved knowledge of the phytoplankton community …
"L Giulietti, E Karlsbakk, P Cipriani, SD Shayo…","Molecular Characterization of the Myoliquefactive Fish Parasite Kudoa mirabilis (Cnidaria, Kudoidae) from SW Indian Ocean and Its Phylogenetic Relationship with …",Marine,2020,mdpi.com,NA,"Myxosporean parasites of the genus Kudoa are fish parasites of great economic importance, as some species can affect the fish fillet quality by producing macroscopic cysts or …"
"SD Shayo, C Lugomela…","Influence of land use patterns on some limnological characteristics in the south-eastern part of Lake Victoria, Tanzania",Freshwater,2011,read.dukeupress.edu,NA,"To investigate the influence of human activities on limnological characteristics of Lake Victoria, we analyzed inorganic nutrient concentrations, phytoplankton diversity and …"
"S Shayo, SM Limbu","Nutrient release from sediments and biological nitrogen fixation: Advancing our understanding of eutrophication sources in Lake Victoria, Tanzania",Freshwater,2018,Wiley Online Library,NA,Intensification of anthropogenic activities in the three riparian countries bordering the shoreline of Lake Victoria is exacerbating eutrophication in the main body of the lake. The …
"SM Limbu, S Salome","Nutrient release from the sediments and biological nitrogen fixation; advancing sources of eutrophication in Lake Victoria, Tanzania.",Freshwater,2018,196.44.162.10,NA,Intensification of anthropogenic activities in the three riparian countries bordering the shoreline of Lake Victoria is exacerbating eutrophication in the main body of the lake. The …
SD Shayo,"Epizootiology of microbial diseases of wild and cultured fish in the Mtera dam catchment area, Tanzania",Freshwater,2015,University of Dar es Salaam,CITATION,NA
"BC Sekadende, TJ Lyimo, R Kurmayer","Microcystin production by cyanobacteria in the Mwanza Gulf (Lake Victoria, Tanzania)",Freshwater,2005,Springer,NA,"In order to investigate the potential for microcystin (MC) production by cyanobacteria in the Mwanza Gulf (Lake Victoria, Tanzania), nutrients, phytoplankton and microcystins were …"
"AP Shoko, SM Limbu, HA Lamtane…","The role of fish-poultry integration on fish growth performance, yields and economic benefits among smallholder farmers in sub-Saharan Africa, Tanzania",Freshwater,2019,Taylor & Francis,NA,"Aquaculture practices from sub-Saharan Africa are characterised by low production, owing to improper technology. Production can be increased through integrating fish farming with …"
"MR Palmer, YW Shagude, MJ Roberts…",Marine robots for coastal ocean research in the Western Indian Ocean,Marine,2021,Elsevier,HTML,Marine robots have the potential to enhance WIO marine research to improve regional adaptation to the challenges presented by climate change by providing enhanced research …
"JG Mshana, B Sekadende",Assessment of Heavy Metal Pollution in Octopus cyanea in the Coastal Waters of Tanzania,Marine,2014,meridian.allenpress.com,NA,"Background. The accumulation of toxic metals in marine environments has become a problem of increasing concern. In Tanzania, large amounts of industrial and domestic waste …"
"BC Sekadende, JF Machiwa, FF Mwanuzi",Processes governing the retention of phosphorus and nitrogen in nyashishi wetland,Freshwater,2014,scirp.org,HTML,One of the important functions of the wetland is the retention of catchment nutrients and improving lacustrine water quality. This study analyzed how much nutrients were retained in …
"KK Takagi, T Higuchi, K Matoba, S Koren…","The effects of landscape characteristics on the nitrogen dynamics within the coral reef ecosystem: Bise, Okinawa, Japan",,2009,ir.lib.u-ryukyu.ac.jp,NA,琉球大学 21 世紀 COE プログラム 「サンゴ礁島嶼系の生物多様性の総合解析」 平成 20 年度成果発表会 (平成 21 年 3 月 14 日開催) 講演・特別講演会場: 理系複号棟 102 号室 …
"S Arakaki, I Mimura, O Myint, S Ulomi…","Short-term temporal and spatial dynamics of nutrients and organic materials in the island river systems of Okinawa, Japan",,2009,ir.lib.u-ryukyu.ac.jp,NA,琉球大学 21 世紀 COE プログラム 「サンゴ礁島嶼系の生物多様性の総合解析」 平成 20 年度成果発表会 (平成 21 年 3 月 14 日開催) 講演・特別講演会場: 理系複号棟 102 号室 …
"L Musinguzi, J Lugya, P Rwezawula, A Kamya…","The extent of cage aquaculture, adherence to best practices and reflections for sustainable aquaculture on African inland waters",Freshwater,2019,Elsevier,NA,Cage aquaculture is expanding on African inland waters and has potential to close the fish supply deficit in the region and provide other social benefits such as employment and …
"AP Shoko, SM Limbu, YD Mgaya","Effect of stocking density on growth performance, survival, production, and financial benefits of African sharptooth catfish (Clarias gariepinus) monoculture in earthen …",Freshwater,2016,Taylor & Francis,NA,"The present on-farm study assessed the effect of different stocking densities on growth, production, and financial benefits of African sharptooth catfish (Clarias gariepinus) in …"
"SM Limbu, AP Shoko, HA Lamtane…","Supplemental effects of mixed ingredients and rice bran on the growth performance, survival and yield of Nile tilapia, Oreochromis niloticus reared in fertilized …",Freshwater,2016,springerplus.springeropen.com,HTML,"Unaffordability of commercial feeds to semi-intensive Nile tilapia, Oreochromis niloticus farmers has led to reliance on supplemental feeding and fertilization for nutrition of their fish …"
"PGM Van der Heijden, AP Shoko, AP van Duijn…",Review and analysis of small-scale aquaculture production in East Africa: Part 3. Tanzania,Freshwater,2018,library.wur.nl,NA,This report describes the findings of a literature study and of interviews with fish farmers and key informants familiar with the Tanzanian freshwater aquaculture sector. The study was part …
"AP van Duijn, PGM van der Heijden, B Bolman…",Review and analysis of small-scale aquaculture production in East Africa: Summary and Recommendations,Freshwater,2018,library.wur.nl,NA,The situation of small-scale aquaculture producers as well as support services in the four countries differs but most small-scale fish farmers in the region are confronted with a …
AP Shoko,"Aquaculture of nile tilapia (oreochromis niloticus linnaeus, 1758) with an assessment of its economic benefits in the lake Victoria basin, Tanzania",Freshwater,2013,University of Dar es Salaam,CITATION,NA
"M Mndeme, A Shoko, S Limbu, C Mwita","Genetic Diversity Among Tilapia Species Farmed at Chita in Kilombero, Morogoro Region, Tanzania",Freshwater,2020,ajol.info,NA,The development of aquaculture industry in Tanzania cannot cope with the expected substantial increase in demand for fish and fish products due to several bottlenecks …
"MG Mndeme, SM Limbu, AP Shoko, CJ Mwita","Genetic diversity among Tilapia species farmed at Chita in Kilombero, Morogoro Region, Tanzania. Tanzania Journal of Science, 46 (1): 31-41. http://196.44. 162.39 …",Freshwater,2020,196.44.162.10,NA,The development of aquaculture industry in Tanzania cannot cope with the expected substantial increase in demand for fish and fish products due to several bottlenecks …
AP Shoko,"The effects of different diets and stocking density on the growth performance of abeochromis variabilis (Boulenger, 1906) under aquaculture conditions.",Freshwater,2002,University of Dar es Salaam,CITATION,NA
"D Mgaya, Y Mgaya, A Shoko, S Limbu","A comparison of diurnal dynamics of water quality parameters in Nile tilapia (Oreochromis niloticus, Linnaeus, 1...",Freshwater,2014,academia.edu,PDF,The overall performance of an aquaculture system is partly determined by its water quality parameters. Poor water quality stresses and adversely affects fish growth causing low …
"PGM van der Heijden, AP Shoko",Review and analysis of small-scale aquaculture production in East Africa,Freshwater,2018,Wageningen Centre for …,CITATION,NA
"AP Shoko, BR Komugisha","REPORT ON ASSESSMENT OF THE CONDITIONS FOR GENETIC IMPROVEMENT IN EAST AFRICA: GENETIC PERFORMANCE, ORGANIZATIONAL …",,NA,NA,CITATION,NA
SS Shaban,"Prevalence of extended spectrum beta lactamase producing escherichia coli in integrated agro-aquaculture in Morogoro, Tanzania",Freshwater,2017,41.73.194.142,NA,Integrated aquaculture and other agricultural activities involve use of animal manure directly or indirectly into the pond. This farming practice increase production and minimize the …
"EA Sweke, Y Kobayashi, M Makino…","Comparative job satisfaction of fishers in northeast Hokkaido, Japan for coastal fisheries management and aquaculture development",Freshwater,2016,Elsevier,NA,"To foster future research directions and propose feasible adaptive management strategies, the factors affecting job satisfaction were examined in Akkeshi and Erimo, two local fishing …"
"JK Bukombe, AK Nkwabi, LJ Mangewa…",Alien Invasive Species in Tanzania,Freshwater,2021,Wiley Online Library,NA,"Alien invasive species (AIS) are species that have become established in areas outside of their native range and cause harm to human health, the economy, and the environment in …"
